IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
64.110.88.46,443,true,ICN,Asia Pacific,Seoul,99 ms,22938 kB/s
150.230.47.17,443,true,SJC,North America,San Jose,176 ms,10987 kB/s
192.18.140.32,443,true,SJC,North America,San Jose,176 ms,10779 kB/s
192.9.246.112,8443,true,SJC,North America,San Jose,178 ms,10661 kB/s
34.154.19.192,443,true,FRA,Europe,Frankfurt,260 ms,6164 kB/s
34.116.241.55,443,true,FRA,Europe,Frankfurt,271 ms,6038 kB/s
84.8.148.235,8443,true,LHR,Europe,London,246 ms,5876 kB/s
129.146.83.33,8443,true,LAX,North America,Los Angeles,271 ms,5778 kB/s
34.118.28.145,443,true,FRA,Europe,Frankfurt,250 ms,5697 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,249 ms,5663 kB/s
150.136.241.40,8443,true,IAD,North America,Ashburn,250 ms,5442 kB/s
152.70.191.139,443,true,FRA,Europe,Frankfurt,261 ms,5402 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,263 ms,5275 kB/s
34.147.117.190,443,true,FRA,Europe,Frankfurt,255 ms,5231 kB/s
129.146.111.62,443,true,LAX,North America,Los Angeles,262 ms,5221 kB/s
34.118.20.0,443,true,FRA,Europe,Frankfurt,262 ms,5155 kB/s
146.56.157.246,443,true,NRT,Asia Pacific,Tokyo,78 ms,5038 kB/s
131.186.28.236,443,true,NRT,Asia Pacific,Tokyo,76 ms,4868 kB/s
150.230.44.13,443,true,SJC,North America,San Jose,169 ms,4726 kB/s
35.204.87.166,443,true,FRA,Europe,Frankfurt,246 ms,4588 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,203 ms,4511 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,261 ms,4409 kB/s
144.21.39.76,443,true,FRA,Europe,Frankfurt,284 ms,4358 kB/s
34.118.78.11,443,true,FRA,Europe,Frankfurt,264 ms,4354 kB/s
152.67.78.164,8443,true,MXP,Europe,Milan,291 ms,4281 kB/s
146.56.132.247,443,true,NRT,Asia Pacific,Tokyo,84 ms,4078 kB/s
129.153.213.8,443,true,LAX,North America,Los Angeles,259 ms,3881 kB/s
158.101.11.22,8443,true,LAX,North America,Los Angeles,253 ms,3807 kB/s
132.145.54.84,2053,true,LHR,Europe,London,245 ms,3807 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,189 ms,3743 kB/s
34.91.218.58,443,true,FRA,Europe,Frankfurt,246 ms,3627 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,247 ms,3556 kB/s
34.116.249.21,443,true,FRA,Europe,Frankfurt,264 ms,3303 kB/s
152.70.53.204,443,true,FRA,Europe,Frankfurt,274 ms,3234 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,321 ms,2975 kB/s
152.70.148.46,2053,true,LAX,North America,Los Angeles,243 ms,2930 kB/s
34.118.13.155,443,true,FRA,Europe,Frankfurt,273 ms,2876 kB/s
158.101.98.60,2095,true,IAD,North America,Ashburn,256 ms,2575 kB/s
143.47.243.144,8443,true,LHR,Europe,London,240 ms,2495 kB/s
143.47.243.144,2053,true,LHR,Europe,London,256 ms,2470 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,330 ms,2098 kB/s
132.145.54.84,8443,true,LHR,Europe,London,243 ms,1948 kB/s
129.159.83.88,8443,true,IAD,North America,Ashburn,240 ms,1477 kB/s
34.89.171.120,443,true,FRA,Europe,Frankfurt,257 ms,1003 kB/s
34.118.30.198,443,true,FRA,Europe,Frankfurt,268 ms,966 kB/s
34.34.43.14,443,true,FRA,Europe,Frankfurt,253 ms,902 kB/s
34.118.61.6,443,true,FRA,Europe,Frankfurt,263 ms,819 kB/s
158.180.25.74,443,true,FRA,Europe,Frankfurt,274 ms,707 kB/s
130.61.203.115,8443,true,FRA,Europe,Frankfurt,267 ms,700 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,268 ms,679 kB/s
34.90.82.108,443,true,FRA,Europe,Frankfurt,268 ms,675 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,241 ms,656 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,265 ms,652 kB/s
34.116.246.250,443,true,FRA,Europe,Frankfurt,261 ms,614 kB/s
